t_sec,x,y,z,qw,qx,qy,qz
1789439763.136800051,-0.000001034,0.000000414,-0.000001215,0.999999340,0.000950198,0.000636156,-0.000115576
1789439763.170186281,-0.000453046,-0.000211076,-0.000126912,0.999999338,0.000934488,0.000658984,-0.000127616
1789439763.203556538,-0.000854586,-0.000374225,-0.000277602,0.999999338,0.000936353,0.000656638,-0.000125082
1789439763.236913204,-0.001231216,-0.000516092,-0.000436819,0.999999322,0.000948895,0.000660740,-0.000138135
1789439763.270254374,-0.001565109,-0.000643902,-0.000589797,0.999999339,0.000931081,0.000662661,-0.000125246
1789439763.303579807,-0.001837481,-0.000754152,-0.000716207,0.999999337,0.000930978,0.000665053,-0.000133910
1789439763.336891651,-0.002045545,-0.000840116,-0.000818867,0.999999355,0.000914148,0.000664291,-0.000112897
1789439763.370188236,-0.002186827,-0.000904337,-0.000900184,0.999999349,0.000921881,0.000663322,-0.000113895
1789439763.403470039,-0.002285564,-0.000950939,-0.000958636,0.999999365,0.000897480,0.000673995,-0.000103699
1789439763.436735868,-0.002350375,-0.000981412,-0.001005280,0.999999349,0.000918136,0.000668365,-0.000113276
1789439763.469987869,-0.002362177,-0.000992728,-0.001025317,0.999999366,0.000898394,0.000671934,-0.000093681
1789439763.503224611,-0.002333931,-0.000983284,-0.001020420,0.999999366,0.000896754,0.000675204,-0.000093135
1789439763.536446810,-0.002269510,-0.000955470,-0.001001942,0.999999364,0.000898794,0.000674051,-0.000098888
1789439763.569652796,-0.002177293,-0.000916549,-0.000967687,0.999999346,0.000917797,0.000672685,-0.000111421
1789439763.602844954,-0.002076177,-0.000870467,-0.000928650,0.999999348,0.000918661,0.000669249,-0.000106961
1789439763.636022568,-0.001956714,-0.000820257,-0.000884227,0.999999337,0.000927338,0.000671568,-0.000123142
1789439763.669183731,-0.001827938,-0.000765827,-0.000826063,0.999999350,0.000915527,0.000670840,-0.000108387
1789439763.702331066,-0.001694175,-0.000706174,-0.000768412,0.999999328,0.000939019,0.000670028,-0.000114977
1789439763.735463619,-0.001550644,-0.000643008,-0.000704285,0.999999321,0.000947763,0.000666540,-0.000126546
1789439763.768581390,-0.001413532,-0.000580140,-0.000637862,0.999999342,0.000924732,0.000669487,-0.000114952
1789439763.801682949,-0.001275792,-0.000517729,-0.000580760,0.999999328,0.000939449,0.000668686,-0.000122278
1789439763.834770679,-0.001141030,-0.000460968,-0.000520001,0.999999294,0.000971996,0.000665478,-0.000153358
1789439763.867843390,-0.001013251,-0.000409686,-0.000461824,0.999999339,0.000926613,0.000670699,-0.000117707
1789439763.900901318,-0.000884710,-0.000360718,-0.000407412,0.999999334,0.000937812,0.000661244,-0.000124222
1789439763.933943272,-0.000765292,-0.000312969,-0.000350158,0.999999346,0.000923075,0.000665157,-0.000115731
1789439763.966971397,-0.000656150,-0.000268333,-0.000304186,0.999999346,0.000927515,0.000659180,-0.000111877
1789439763.999984503,-0.000550406,-0.000227515,-0.000258884,0.999999344,0.000933558,0.000653417,-0.000119192
1789439764.032983541,-0.000459072,-0.000188862,-0.000216350,0.999999360,0.000910204,0.000662086,-0.000110703
1789439764.066357851,-0.000377106,-0.000152552,-0.000183329,0.999999348,0.000928836,0.000655024,-0.000114348
1789439764.099729061,-0.000298012,-0.000118256,-0.000145883,0.999999362,0.000916689,0.000651938,-0.000106421
1789439764.133097172,-0.000233713,-0.000088597,-0.000117277,0.999999341,0.000935700,0.000651743,-0.000129448
1789439764.166461229,-0.000176315,-0.000064903,-0.000093864,0.999999352,0.000920782,0.000658810,-0.000118746
1789439764.199822903,-0.000125669,-0.000046715,-0.000068622,0.999999380,0.000904540,0.000641561,-0.000100224
1789439764.233181715,-0.000085462,-0.000029580,-0.000049198,0.999999372,0.000906202,0.000649821,-0.000110046
1789439764.266537428,-0.000048253,-0.000014457,-0.000027800,0.999999361,0.000921221,0.000645655,-0.000112769
1789439764.299888849,-0.000019674,-0.000002597,-0.000008429,0.999999366,0.000918706,0.000639997,-0.000119028
1789439764.333238363,-0.000003630,0.000004194,0.000001239,0.999999386,0.000896922,0.000641054,-0.000108762
1789439764.366584778,0.000007622,0.000005433,0.000011525,0.999999380,0.000906741,0.000637067,-0.000107295
1789439764.399926901,0.000009788,0.000005189,0.000018376,0.999999391,0.000903843,0.000623550,-0.000112034
1789439764.433267117,0.000004161,0.000003389,0.000023332,0.999999392,0.000897775,0.000629511,-0.000113353
1789439764.466603994,-0.000006599,-0.000001624,0.000028475,0.999999383,0.000910008,0.000625847,-0.000117733
1789439764.499938011,-0.000029666,-0.000007784,0.000026188,0.999999404,0.000884858,0.000630642,-0.000107289
1789439764.533267736,-0.000061715,-0.000016485,0.000022693,0.999999392,0.000896704,0.000630605,-0.000115177
1789439764.566595554,-0.000095498,-0.000030304,0.000018592,0.999999345,0.000948324,0.000625849,-0.000134764
1789439764.599920273,-0.000135373,-0.000048291,0.000013042,0.999999388,0.000902893,0.000627534,-0.000118620
1789439764.633240700,-0.000180751,-0.000071474,0.000006309,0.999999385,0.000913996,0.000617074,-0.000114733
1789439764.666558981,-0.000232808,-0.000093232,-0.000003612,0.999999382,0.000914380,0.000620941,-0.000117538
1789439764.699874401,-0.000298193,-0.000116259,-0.000016520,0.999999381,0.000918297,0.000615981,-0.000124275
1789439764.733186722,-0.000364568,-0.000141962,-0.000027563,0.999999369,0.000929580,0.000615263,-0.000136768
1789439764.766494989,-0.000434886,-0.000170485,-0.000039792,0.999999381,0.000921895,0.000610700,-0.000123827
1789439764.799800873,-0.000516175,-0.000201580,-0.000054635,0.999999390,0.000912067,0.000612108,-0.000116263
1789439764.833103657,-0.000600038,-0.000233370,-0.000070825,0.999999376,0.000928377,0.000609680,-0.000119965
1789439764.866403580,-0.000689538,-0.000266061,-0.000085976,0.999999377,0.000933657,0.000599783,-0.000123544
1789439764.899699211,-0.000785275,-0.000304744,-0.000099720,0.999999364,0.000948637,0.000594763,-0.000134242
1789439764.932992935,-0.000879015,-0.000347164,-0.000110990,0.999999385,0.000922821,0.000602477,-0.000126926
1789439764.966283560,-0.000977768,-0.000392199,-0.000121956,0.999999411,0.000905404,0.000590451,-0.000102705
1789439764.999569893,-0.001077880,-0.000436192,-0.000134249,0.999999412,0.000902741,0.000592025,-0.000104013
1789439765.032854557,-0.001174114,-0.000476927,-0.000146653,0.999999425,0.000892181,0.000587553,-0.000097972
1789439765.066266298,-0.001269206,-0.000512683,-0.000159719,0.999999426,0.000894106,0.000582862,-0.000096932
1789439765.099522352,-0.001355340,-0.000542340,-0.000171946,0.999999429,0.000891627,0.000581090,-0.000097174
1789439765.132773161,-0.001428671,-0.000563453,-0.000180347,0.999999428,0.000898502,0.000572878,-0.000094104
1789439765.166019917,-0.001486244,-0.000573040,-0.000185093,0.999999420,0.000904086,0.000574942,-0.000107856
1789439765.199262142,-0.001527342,-0.000578051,-0.000184375,0.999999429,0.000896000,0.000574244,-0.000097382
1789439765.232499599,-0.001560436,-0.000581688,-0.000182823,0.999999428,0.000898295,0.000574025,-0.000091849
1789439765.265731096,-0.001591223,-0.000587034,-0.000184336,0.999999396,0.000929082,0.000575507,-0.000114249
1789439765.298959255,-0.001620492,-0.000597705,-0.000181713,0.999999440,0.000883486,0.000576503,-0.000087972
1789439765.332182646,-0.001651696,-0.000613983,-0.000181561,0.999999414,0.000911518,0.000575376,-0.000102679
1789439765.365400076,-0.001684251,-0.000630277,-0.000181818,0.999999441,0.000876750,0.000585021,-0.000088761
1789439765.398613930,-0.001718047,-0.000645048,-0.000188875,0.999999455,0.000859362,0.000587481,-0.000082376
1789439765.431823254,-0.001749780,-0.000652394,-0.000214272,0.999999446,0.000871406,0.000584059,-0.000084363
1789439765.465027809,-0.001775516,-0.000650643,-0.000261033,0.999999432,0.000883955,0.000587669,-0.000097165
1789439765.498226643,-0.001793116,-0.000638007,-0.000336067,0.999999450,0.000863300,0.000589412,-0.000082445
1789439765.531421661,-0.001810329,-0.000615578,-0.000436261,0.999999448,0.000860495,0.000597800,-0.000077859
1789439765.564611912,-0.001827771,-0.000587369,-0.000552736,0.999999425,0.000883358,0.000601702,-0.000083109
1789439765.597797632,-0.001845012,-0.000551394,-0.000683608,0.999999448,0.000856515,0.000603583,-0.000072992
1789439765.630977631,-0.001869816,-0.000508349,-0.000835081,0.999999435,0.000869490,0.000605155,-0.000082342
1789439765.664153814,-0.001897943,-0.000455323,-0.001005559,0.999999432,0.000875723,0.000603823,-0.000072656
1789439765.697325230,-0.001929940,-0.000392624,-0.001190534,0.999999441,0.000861136,0.000610023,-0.000064085
1789439765.730490923,-0.001966418,-0.000327107,-0.001382625,0.999999432,0.000868487,0.000613550,-0.000068026
1789439765.763653040,-0.001997829,-0.000265760,-0.001572460,0.999999426,0.000874115,0.000616040,-0.000067271
1789439765.796810627,-0.002029230,-0.000212668,-0.001751710,0.999999439,0.000852846,0.000626110,-0.000056316
1789439765.829963207,-0.002056438,-0.000171774,-0.001913275,0.999999419,0.000884348,0.000611865,-0.000072141
1789439765.863110304,-0.002072446,-0.000139754,-0.002051727,0.999999445,0.000856154,0.000611987,-0.000053927
1789439765.896253347,-0.002086507,-0.000115885,-0.002170559,0.999999447,0.000859966,0.000602887,-0.000055800
1789439765.929392099,-0.002081304,-0.000099900,-0.002257604,0.999999447,0.000864642,0.000596857,-0.000055331
1789439765.962524891,-0.002056758,-0.000096894,-0.002290737,0.999999464,0.000853276,0.000585826,-0.000040954
