t_sec,x,y,z,qx,qy,qz,qw
0.000000,-0.007663348173858981,0.012271334223297344,0.0012589625229328873,0.9998690326341645,0.0005700370659337498,0.01606389935948687,-0.001882491522399789
0.032665,-0.016480942759350175,0.008838191768486497,0.0011380859693055597,0.9998089813577948,2.19073787614585e-05,0.01920957529661636,-0.0036045156788438726
0.065303,-0.023297212054260143,0.00670143180659785,0.0012631786275694287,0.9997684511133725,-0.0007610918929306701,0.02099195502690031,-0.004669338459288953
0.097915,-0.027164391468861595,0.007154433707982487,0.0011047495475869625,0.999760712663822,-0.0010460982845233824,0.021298291201460345,-0.0048791274018623425
0.130503,-0.02392663721896886,0.010274929967879284,0.0012202672465886923,0.9998289147079912,0.00045361318260123015,0.01808574923155792,-0.0038524308760170137
0.197228,-0.01273826615263772,0.01797270925372391,0.0018450709932737186,0.9999299939755952,0.004032824670316943,0.010976248909382948,-0.0018070509190812108
0.230585,-0.001640482848624104,0.023267851488370184,0.0019107963512513513,0.9999565072720114,0.005993996021671076,0.00710852239743073,-0.0007242136271149217
0.263940,0.008222859999712192,0.02823229023345241,0.0019993151763093046,0.9999582227687764,0.008194651981392026,0.0040109940133585785,0.0005588586929929109
0.297291,0.015214439110557481,0.033061810597481804,0.0020579667097802897,0.9999537983034653,0.009239679188842656,0.00227259953786978,0.00136560547032327
0.363983,0.02360214368274421,0.03769736672069751,0.0023738618143034377,0.9999245448080125,0.012086458506415898,0.00022265300558127102,0.0021846365604321046
0.397325,0.03198417345221271,0.04346375819711177,0.002384951764588421,0.9999092220296046,0.01314855597564824,-0.0008435219380887876,0.002819866423435033
0.463999,0.03836930752122367,0.047800212232345096,0.002866504285897966,0.9999063453260048,0.013241346302344753,-0.0015773633391814644,0.003078839032880448
0.497330,0.043863014975170075,0.050536283105835855,0.003257303511725131,0.9998962222186162,0.013919207287714527,-0.0019914008789149785,0.003136045911800639
0.530659,0.04818878959123668,0.053528336518498996,0.003834999931786479,0.9998816983519663,0.014898155188981433,-0.002138097470330955,0.0031721935565812813
0.597306,0.0489717410376766,0.056256640746256394,0.003948610758885799,0.9998870009904495,0.014600463724221881,-0.0019634964306721554,0.0029927230291547503
0.630625,0.05025015876829693,0.057998735196668684,0.0036556690808239546,0.9998816950634913,0.014950113113408502,-0.0019383567459986446,0.0030549579343872547
0.663941,0.05491638264231989,0.06030974871314002,0.003906598468394278,0.9998778555459297,0.0151544035481764,-0.002130963390769339,0.003174434910257359
0.763869,0.06518550367732034,0.06357821967154885,0.00439772132620553,0.9998598399344772,0.01620064090055864,-0.002499789757814803,0.003404522254226094
0.797172,0.07642591727883077,0.061473496279283196,0.0036021352393002764,0.9998637026351467,0.015984274165909796,-0.0025883712240227885,0.0032217179471143204
0.863768,0.0988815687634902,0.05490332635566151,0.00031101652809451235,0.9998616715897592,0.016070315453943943,-0.0028393844647836798,0.0032125601635460397
0.963638,0.11581469509397686,0.05788680010356718,7.930121574744846e-05,0.9998346840986602,0.0175805391856474,-0.0032325472986847697,0.003328626328702151
1.030203,0.12078436932789514,0.059717900734748294,0.000578894125888809,0.999836759185191,0.01748897718942544,-0.0032154812827631155,0.003201771235164295
1.063481,0.11801361840775923,0.05952861101736951,5.857949095365751e-05,0.9998387386977622,0.017426860385792397,-0.0029799957713954814,0.0031497240457905988
1.130025,0.12344391571121456,0.0593282618967972,-2.9291197857625562e-05,0.9998302244208801,0.01790027894007029,-0.002913566948062724,0.0032578330220750526
1.196528,0.12125436145857293,0.05977317114441208,0.001111943133619898,0.9998474162970613,0.016999155125539987,-0.0025739275809858026,0.0030899427044427785
1.229773,0.11031875452111646,0.05832650987352964,0.0011936665877688385,0.9998544542222635,0.016631511542985332,-0.002236550777591623,0.003075879762719606
1.296250,0.1033744212349072,0.06055939382435708,0.0018791044822819224,0.9998437086464937,0.017312401503294918,-0.0018956424488280636,0.003040653535071602
1.329480,0.09735535150438222,0.0606133517843614,0.0020138495203897364,0.9998357089494856,0.017760954878284448,-0.001843037402407195,0.0031155744935121663
1.395929,0.10742041000225248,0.0635106295144924,0.00191736815030692,0.9998152778690439,0.01882370340706425,-0.0022238744625825593,0.00318319211867835
1.462359,0.12657253305830893,0.06827787307987766,0.00020816403805579159,0.9997994375013204,0.019582227586438603,-0.002768943205902838,0.003155010034630718
1.495567,0.14195999220939076,0.07203287143268987,-0.0016408410911901358,0.9997883049477999,0.020082547790657143,-0.003013789870271988,0.003309627540815079
1.561970,0.15529764073571803,0.07458849345871091,-0.0025517245635284574,0.9997539861462716,0.02169011905613117,-0.003374994050506841,0.0031804614650238513
1.893711,0.17584081012872158,0.08914387963268963,0.001186873510319535,0.9997311635138952,0.02280396246307384,-0.0027307604083522327,0.0031816572298498866
1.926859,0.14120921670387726,0.07324694822093476,-0.0006843115576749101,0.9997199544841466,0.02325461024924581,-0.002986917530412655,0.0032115466738349726
1.960004,0.1438186729627787,0.07492562502637136,-0.003736006363211298,0.9997176678461461,0.023360027438544564,-0.0029757391826123266,0.0031683892832692377
1.993144,0.1457296539688728,0.07555168791252918,-0.0024614180243701014,0.9997044438075475,0.023849191950266684,-0.0030865550160880753,0.003565705104757324
2.026280,0.1542423639030928,0.0770841263404482,-0.001978178090766956,0.9996575000802067,0.025734874232439545,-0.003275645488588683,0.0034451310955047336
2.059410,0.16147110783800772,0.07805690747381296,-0.0021693654530070355,0.9996381520747295,0.026413330207400987,-0.0035094776891061957,0.003685711644242643
2.158995,0.1693249736114412,0.08449046730897271,-0.001286897366723461,0.9995683445411961,0.029038730326376626,-0.003150577152188809,0.0031544565004189423
2.292338,0.16706574483352152,0.08870279642844844,0.0043564605702816495,0.9994725896437917,0.032106226812131676,-0.0032153750917183537,0.003659796939791437
2.359010,0.1524119707374988,0.08131623956612627,0.007093420023731241,0.9994517119345128,0.0327312921765492,-0.0034313153282052966,0.0036282363130421638
2.392346,0.15417083543828758,0.08458551932564624,0.0067416185901492745,0.9994404006413604,0.03309590239073468,-0.0033293267644851233,0.0035302116190389864
2.459018,0.15635088584644222,0.08864240917924467,0.0070545528738307104,0.9993328299745781,0.03620049488956987,-0.003514978479433097,0.0033262638260692164
2.525689,0.1612492849968888,0.0919649165290508,0.006860767787780408,0.9992949236210736,0.03722365892931552,-0.0036023915765947103,0.0033283052737554724
2.559026,0.16044083722434097,0.09229466728253688,0.006652549617310071,0.9992259987492593,0.03903541467286506,-0.0037012145634274904,0.0031529090722904585
2.592362,0.16253382825596424,0.09395519993781906,0.005845957140091286,0.9991718028476525,0.040410196084881236,-0.003741143736094351,0.0029543679695139963
2.625698,0.16573030592530022,0.09591119732077968,0.005505980131568273,0.9990962750170728,0.04223008053023108,-0.003861446599297206,0.0028883863281661012
2.659033,0.17224588655054654,0.09580767085243386,0.003856729387035114,0.9989929491265457,0.044600284600530574,-0.004056581391286239,0.0027288012779522223
2.692369,0.18188334477363252,0.09829052696011537,0.002514142522409191,0.9989792254190724,0.04488629086099668,-0.004256035220339692,0.0027593908848299606
2.725706,0.18076503726545048,0.09854286045814263,0.003135273397818428,0.9989909821051239,0.04462353965813811,-0.004327555384857755,0.002651347847714555
2.759042,0.17688574013285543,0.09811806452140365,0.004275363219206103,0.9989696015468847,0.04508708170653333,-0.004367524960894352,0.002795527528530896
2.892385,0.17739194632227184,0.10610361217482751,0.006643893835183227,0.998829916349497,0.04810778317019891,-0.004249492597728142,0.002526106958886709
2.992393,0.17850068415798462,0.11039667035932123,0.00665771914372495,0.9987608665702629,0.049495109116167876,-0.004412808062857727,0.002737280839936961
3.025729,0.180178040975881,0.111883876496437,0.006498029910348868,0.99876326165946,0.049439902119978694,-0.0044585774844059034,0.0027864537569271134
3.059065,0.18312296576837056,0.11537407111691918,0.00673719023431458,0.998749317718648,0.04973341794370425,-0.004375786004854814,0.0026907235108062457
3.159071,0.18698107680085135,0.11949496280919933,0.007645633217148587,0.9984902380989655,0.05470169841729638,-0.004350425066684976,0.002458132029349267
3.192405,0.1515711709830879,0.10869831707715091,0.005710195799454513,0.9984376197533936,0.05566579333318091,-0.003881026745641876,0.002928573913210652
3.259073,0.1681735396935847,0.11634244967967292,0.00611341329826839,0.9982675969278737,0.05862395087309964,-0.0043105075166644784,0.002541029874975618
3.292407,0.17322803396575073,0.10986893415923729,0.004920076894448413,0.998203367152565,0.05969167215419069,-0.004614428634794452,0.0023767896610002357
3.359075,0.1808136724261288,0.11387883444079325,0.00549350655754264,0.9981965599852322,0.05979797327486753,-0.004653637981130725,0.0024846889961907055
3.425742,0.18846034844162954,0.12176624043041012,0.006269877612795168,0.9980709280931226,0.061876548080084894,-0.00455916952220248,0.0022201951026758746
3.459076,0.19223758780302652,0.12666532846542225,0.006710840645157352,0.9979664183569986,0.06355645062874643,-0.004397207691735398,0.002066392918970182
3.525743,0.1951986051336508,0.1284730923011012,0.00657482562098501,0.9977583952900119,0.06673313796977859,-0.004549713123134522,0.0020428008969001336
3.559077,0.19946129082575373,0.12916870665842206,0.0064487266825309034,0.9977432370867187,0.06694812840385894,-0.004655086504956975,0.0021705115912488667
3.625744,0.20532605013919927,0.1344092904855089,0.007143071492168392,0.9978376916669297,0.06552567673345366,-0.004648901574738916,0.0021712880013597708
3.659077,0.2085222902385423,0.1364548031284479,0.007440570811719498,0.997786692001288,0.06631602972084372,-0.004436916790983645,0.0020531041330080044
3.692411,0.21075285008346925,0.1394517262592994,0.0075532110493576245,0.9977336869905348,0.0671149268124169,-0.004359799977990813,0.0020170739673035375
3.725745,0.21209944120961932,0.1413984089653975,0.007419900602515038,0.9976351250867647,0.06857068197846898,-0.004315392519666115,0.0018963526898697772
3.792412,0.21819108472176246,0.14776712523414207,0.007234723673029791,0.9972897228685285,0.07342875439932799,-0.004300193407275282,0.001713191418611395
3.825745,0.22025754327398325,0.1500012555510552,0.006741937877644828,0.9971623317908721,0.07513042080888335,-0.004427700217578483,0.0017605105095462499
3.859078,0.22296959822387136,0.15142061978992205,0.006793405395085691,0.9971503808400548,0.07528532725616534,-0.004495011056079081,0.0017413690222371492
3.892412,0.22579719024040776,0.15311640845790367,0.006871141085012948,0.9971711881286934,0.07500704996765123,-0.0045467032773916895,0.0017004441970920009
3.925745,0.228588213873187,0.15466562125679367,0.006599371838803108,0.9971390394435292,0.07543127977228471,-0.004584723900485111,0.001684742208029906
3.959079,0.23171044380904027,0.15662111851736774,0.006395950164046215,0.9970783966896091,0.0762265171553815,-0.004618088103599583,0.0016918036252342179
4.025745,0.23790871035433478,0.1621068710623753,0.0067185265957219135,0.9969606827764462,0.07774976395330581,-0.004623883488502978,0.0017294232021598619
4.092412,0.24355767978602014,0.1688104377134671,0.007324920806419321,0.9968459474280318,0.07920764063567584,-0.0045919054934236685,0.0017947604795113864
4.125745,0.24589167052470903,0.17101172470246,0.0074614453948568735,0.9967846775296555,0.07997149895426649,-0.004619589422355305,0.0018776023747029886
4.259075,0.259789872078281,0.17956615400495177,0.006860226006278362,0.9967011063554727,0.0809973717719255,-0.0047721355636378,0.0018860217335528373
4.325741,0.2681397511578604,0.18226452845693714,0.005982022347264982,0.9966096628597565,0.08210678368192795,-0.004912654499414449,0.0018766442766530585
4.359072,0.2723843341218858,0.18427810515809684,0.005362667135073377,0.996531066294459,0.08305080618593554,-0.005014934311330638,0.0018022030262533622
4.392405,0.2766610430274702,0.18933928649283008,0.005381403475032051,0.9964645621192295,0.08384033804048528,-0.0050625622449088975,0.001882716469864155
4.459071,0.28658260176823974,0.1966925899213586,0.005580469662573793,0.9963426000828696,0.08527435153416606,-0.005086750807739214,0.0019578551413529915
4.492402,0.2907333567341807,0.20149666443408698,0.006049417452912601,0.9963734130774822,0.08491281504249279,-0.0050972431225975385,0.0019630757595807615
4.592399,0.3038942787062684,0.21461574511760773,0.0070806007990776255,0.9964024812479225,0.08458089043933527,-0.004878121766229311,0.002090995816903243
4.759060,0.32040381240483856,0.22712393392558436,0.0066265692572671075,0.9965124922587586,0.08329879462560062,-0.004550275669988054,0.0018597251105439488
4.892388,0.3236825512048669,0.2333261492463313,0.006481160338082231,0.9962068341255416,0.08691079358736369,-0.0039878376070565475,0.001598358783288645
4.992383,0.31578595221928096,0.23253896474613248,0.006745146006956462,0.9960238236490262,0.08900610837109368,-0.0035476757425580187,0.0013672574857380995
5.025715,0.30000617842258187,0.22510101366084803,0.007595629537545485,0.9959939350812406,0.0893523951855241,-0.0032088283236386015,0.00139074684438817
5.059047,0.29334113491370484,0.22464335473180033,0.007919770757996486,0.9959939390088188,0.08936859911690086,-0.002772427443118725,0.0012808573896514784
5.092378,0.2911210276780768,0.22517558849057606,0.007648964450106121,0.9960031320360351,0.08927497354140769,-0.0025453335183864894,0.0011230987800688792
5.225715,0.29633258879118496,0.23323620887329116,0.007529193187239405,0.995297011658609,0.09684067961082175,-0.0022646975441162056,0.0007826244251504681
5.292386,0.3017873629073427,0.23814123378579624,0.007589859873939874,0.9951205393322874,0.09863882491576069,-0.002183678739729422,0.000852036042258363
5.359056,0.30755359621908257,0.24260120326204765,0.007880029033165523,0.9949564879275622,0.1002813930129316,-0.0021254311957455605,0.0008437348332541909
5.425726,0.31347073209032345,0.24619184847047065,0.00783695591560932,0.9949351018936559,0.10049493840882323,-0.0020903282213049455,0.0007354603963976046
5.592401,0.3274572887475486,0.2598294447457185,0.007563006550320912,0.9945018231187953,0.10469802699344724,-0.0019937157545034407,0.0006870622695138946
5.625736,0.33015883893346926,0.26242610177391906,0.007688892117376161,0.9944114606254564,0.10555256239331423,-0.0019854979114157243,0.000749230936208999
5.659071,0.33538404384405784,0.26471570989786347,0.007405027102636784,0.9943730582734028,0.10591362874595878,-0.002014171173760038,0.0006836229559697313
5.692406,0.3411842002159093,0.2684465595725167,0.007081733312687937,0.9944033346361626,0.1056276998738587,-0.0020834994208649687,0.0006753621262085522
5.892417,0.36053716914339773,0.2854265716316651,0.005858934298836687,0.9941552003202786,0.10794022761958764,-0.002015470886054343,0.0005318032400255172
5.959087,0.3694494361436957,0.28987880424316137,0.005799355783666505,0.9939943196683894,0.10941188659106554,-0.0019706134316352236,0.0006694940347574586
6.025758,0.3719815021847838,0.29102889858736775,0.006119055589631445,0.9941346857044165,0.1081312693331611,-0.0018911511242802742,0.0005280333375818243
6.159096,0.3804798881477861,0.2980140651232424,0.006200638167554561,0.9939045280883395,0.11022936071439214,-0.0016529597862270868,0.0007381097051664458
6.425758,0.3890917295810749,0.30549279895365106,0.003809498634015636,0.9939048618949988,0.11023252763546208,-0.001372486231026453,0.0001778598494262481
6.725753,0.39297010538238614,0.3120264665727236,0.002060805598273066,0.9936891523628235,0.11216495812817312,-0.0006983431637355144,0.0006347923945692997
6.792418,0.3972477554895551,0.31354593575574263,0.0027282509150870038,0.9935424183082061,0.11345797415151238,-0.0006874274686362305,0.0005277946492927728
6.892415,0.42748090414037343,0.32489241546684106,0.002253977626062218,0.9931100063707916,0.11718082172005569,-0.0008462664778956678,0.0006738696217985474
7.025745,0.45885189500429846,0.3379834282548084,0.0009013229689278531,0.993251264870019,0.11597764210302555,-0.0008546205600606899,0.0006172438969800465
7.092410,0.45248236540801545,0.3365792147614919,0.0010532106567105435,0.9934808455540085,0.11399587438495752,-0.0006051556157653585,0.0006196185778716539
7.159073,0.44693931802107484,0.3329725646583331,0.0015511932008485916,0.9936070325708395,0.11289177998682408,-0.0005198661391941346,0.0004904858555042383
7.225736,0.43657602491721825,0.32467932404158106,0.001945333078856612,0.9938075326269749,0.11111396607951116,-0.0004048731310276298,0.0003327367029059546
7.425722,0.42507088631573364,0.3120536510350164,0.002484853460450455,0.9939905654532375,0.10946566344721582,-1.636945656144115e-06,0.00015592733753141174
7.459054,0.4030186119823607,0.29956331879375053,0.004224790024952784,0.9939509065204997,0.10982476966543527,0.0003261714219057392,9.490634717858454e-05
7.492385,0.4022884841232213,0.29806378524054244,0.0047510582543567785,0.9939087246327656,0.11020542935763226,0.0004411762587416033,-0.00012570790831660666
7.525715,0.4036445616109036,0.2988855986202615,0.003563337375241246,0.9938624199395028,0.11062051868932474,0.0005330780739783124,-0.0005539897718951182
7.659039,0.41213089904421496,0.30114436370990966,0.0024115239645494365,0.9936953961296213,0.11211039031707985,0.0007183260137369435,-0.000451775923722901
7.692370,0.4122082748258138,0.3034857161733044,0.003178142355698056,0.9936550357308206,0.11246731355907398,0.0006556276323501081,-0.0005860887258233332
7.725701,0.4154568551078349,0.304102121022007,0.003116985745940642,0.9936404364272746,0.11259627702971042,0.0005217619814189397,-0.0006994712993302953
7.792362,0.45077375018886184,0.3181624793414123,0.0003876738418298715,0.9935682461091838,0.11323274980098946,0.00014598279595414115,-0.0006807239162555575
7.992346,0.4976614859194927,0.33568678148708736,-0.0013204994975858514,0.993404853703349,0.1146572426233565,-0.0006589301026050555,-0.00028136054514224485
8.025677,0.5070009598249894,0.3413453857959471,4.6264972797977226e-05,0.9934060400871058,0.11464770879959656,-0.0005653611453854443,-0.00015083843632057893
8.092339,0.5316329938936667,0.34941383772647794,-0.0029265061680510524,0.9934779810177696,0.11401778889248307,-0.0011375878852666547,-0.0003885134860134777
8.159004,0.5492721954531886,0.3646773898923525,-0.0019923711014516255,0.9940623942235686,0.10880690272704417,-0.0010068366761530525,-2.4276770900127777e-05
8.225675,0.5461829946078515,0.3686367257766329,-0.001367184255420502,0.994108903485713,0.10838144114618588,-0.0009665281888247006,-0.00013057093634441798
8.259011,0.5470072855889287,0.37236082369281,-0.0005797924280620703,0.9940289702261863,0.10911543807122057,-0.00047393095215542456,-5.399116527149256e-05
8.325682,0.559062076985646,0.37906922789908765,-0.0008261743449236834,0.994090874580509,0.10854788231162163,-0.000666237619949893,-0.0004964361541849503
8.359017,0.5546786930155205,0.3796370991371986,-1.9642422814734016e-05,0.9944563269781628,0.10514905267274716,-0.0005147048361213493,-0.00015979379468789687
8.559031,0.5927186608885322,0.3897482022229991,-0.002208343589588389,0.9952119438499291,0.09773620528147466,-0.0009030795267877854,-7.37766311334023e-05
8.659038,0.6052904016226224,0.39036717112132474,-0.0026669413553369256,0.9952755494466903,0.09708634885076894,-0.0008889098954591054,-0.0001771429179605539
8.692374,0.6124138709385545,0.391798885191765,-0.003425176711465378,0.9953373669380692,0.09644943154065169,-0.0009636307882476032,-0.0003233388016708809
8.725708,0.6075571691807526,0.3917499003961104,-0.0022289700311216853,0.9954044861166119,0.09575529582110337,-0.0008850611593934612,-0.00022137723652974003
8.825716,0.6331968508516788,0.39759114757724434,-0.0041823680252949455,0.9953844110690441,0.09596016807022109,-0.0011452935315605084,-0.0004567793714812841
8.992394,0.6610779764754591,0.4064296227765828,-0.004861419850203108,0.995553373097486,0.09419147461784166,-0.0011954458168314738,-0.00013539879377733846
9.225741,0.6999498522628844,0.4190555042110454,-0.005752509845425373,0.9951148838499619,0.0987174511660609,-0.0011057624847833863,-0.00010032387752763065
9.325745,0.7118638740257843,0.42582226294377273,-0.005815752189273618,0.995182563295158,0.09803064636338137,-0.0012801893070527469,0.00013857198442300742
9.359080,0.7206758135092513,0.4265750052881444,-0.006046793134272388,0.9952217809290751,0.09763131941613154,-0.0013100271448388268,0.00012673715007977714
9.392415,0.7166787867439905,0.42812718851474096,-0.004891184794181311,0.9952316729061497,0.09753267911343834,-0.0011261403833454336,0.0001598662526777986
9.459084,0.7355363792101768,0.4320541053222049,-0.006131607423783771,0.995229725997005,0.09754880365448582,-0.001418026603924988,0.00011224105949048433
9.525754,0.7432628585701869,0.4353902993971528,-0.005794682184202047,0.9952840093445617,0.09698974259052477,-0.001575014375213764,0.0004999049469614245
9.659093,0.754733415822012,0.44331564412943975,-0.005525138871552019,0.9953514277860588,0.09629822116837627,-0.001388048555402235,0.000511004176662349
9.759097,0.7660597272777077,0.4486273140628822,-0.005539917066547275,0.9952270473918711,0.09757911157809675,-0.0011189013747099615,0.0004349517232716086
9.792432,0.7728689068602029,0.45068695740260256,-0.006658551836113264,0.9952124273564762,0.09772673743406468,-0.0012310840708569307,0.00044006560283973886
9.859102,0.790422702955421,0.4564544631979838,-0.006627931076439287,0.9952093925106532,0.09775488016002228,-0.001430390589303552,0.00044994026065471327
9.959106,0.8071175637333861,0.4624720443535292,-0.006999655312094743,0.9952020853471504,0.09782570009428923,-0.0016755072249451872,0.00036660235229118835
10.059110,0.8107850912408034,0.465197914644435,-0.00571628784760393,0.9951664972267847,0.09818970818875548,-0.0013615885416777805,0.0007550363051894638
10.125780,0.8365093902240934,0.4713947526166171,-0.006140368691899823,0.9951670224056188,0.09817755369612885,-0.0017890688407924183,0.0007514647438095812
10.159115,0.8356517975199038,0.4688497854317458,-0.004772433919592172,0.9951832160953622,0.09801486558123321,-0.001692108365500603,0.0007676564751590307
10.192448,0.8454041882671435,0.4723731643947609,-0.004862398815759978,0.9951841570233458,0.09800536173606744,-0.0017100685592431226,0.0007199626640435514
10.525787,0.9017028864752046,0.4923149722416321,-0.005930551866746022,0.9952566314996162,0.09726086041181492,-0.002125083808611016,0.0002156543469487654
10.692457,0.9286182075726443,0.5000224785931258,-0.0057847407642557195,0.9952081390810432,0.09775713745111397,-0.0020345065504595882,0.0004034443047026775
10.725791,0.915389624403711,0.4945925399393679,-0.005110937972174335,0.99516097910679,0.09824743953496592,-0.001412942059083928,0.00026435350618749263
10.759125,0.9304039938346933,0.5018930234036612,-0.003552066194075977,0.9951286234720759,0.09856795138089565,-0.0018284006460536292,0.0001966169440388148
10.792459,0.9413768103073363,0.5055895486462256,-0.003872603075425657,0.9951059842429996,0.09879373239916929,-0.001963658527653963,0.0001503582363875547
10.825793,0.9474932259493273,0.5076154109625128,-0.0038193986554019128,0.9951268755710581,0.09858281936976512,-0.0019490150570183025,0.00036136076176792817
11.025796,0.9757507284265701,0.518163081699865,-0.0033696488691270813,0.9953083091080636,0.09673341791553033,-0.001988218948694136,0.00025032826247750145
11.059130,0.9404286229515822,0.5068292959259959,-0.0017922718123171283,0.9953056223580482,0.0967726032385735,-0.0013291155804157108,0.00012172371198700313
11.125799,0.9800309201894458,0.5196149349537427,-0.0011595714656419745,0.9953123327820171,0.0966946471783296,-0.0018671295396915659,0.00013873125073745335
11.192468,0.9920133135223891,0.5228487025080693,-0.0005524209885136551,0.9953172296882161,0.09664209355649533,-0.0019793771722746807,-1.0237311866501511e-05
11.259137,1.0022038021638595,0.5262334800088941,-0.0007546393889099204,0.9954097860122179,0.09568229898022637,-0.002062054357905539,5.920130308838758e-05
11.392476,1.0191924167483488,0.5325018073332797,-0.000892893057708097,0.995561426595258,0.09409574372765606,-0.001853426814902785,4.1194609415696935e-05
11.492481,0.9894848686540687,0.5234588312762136,-0.0015698859574886147,0.9956361351606693,0.09331085807582726,-0.0013127407135105525,-0.0002164238838374236
11.559151,1.0255501437211176,0.5356158203506411,-0.0012689519853420121,0.995670342520248,0.09294007607368338,-0.0016332911131680587,0.0002089142639450718
11.592486,1.0284070150872415,0.5368152319730696,-0.0013004616361672165,0.9956791954554565,0.09284532476341437,-0.0015790648692243178,0.0004381334159778237
11.692490,1.04177340317935,0.5418038984761057,-0.0012991563843079456,0.9958042424605729,0.0914958033402443,-0.001548724178472861,0.00017355710008843406
11.959169,1.0752474364268914,0.5552798799583238,-0.001180318615001466,0.9960402738726605,0.08889045346928996,-0.0013418924064061168,0.0006778130045037308
12.059173,1.087545430155573,0.5609192283764574,-0.001014448508719561,0.9961547939620199,0.08759709788905833,-0.001453806514929771,0.000511228439842125
12.125843,1.0843143979998309,0.5601225794379067,-0.0005449522995143378,0.9962294444981017,0.08674504124957226,-0.001434863911335333,0.00036455338404284895
12.159177,1.0920413160860478,0.5625458191920346,-0.0007906390464963984,0.9962259094590121,0.08678758365055761,-0.0013305025636192274,0.00028707070542032496
12.192511,1.0242240692870295,0.5381359416458378,-0.0016685772323498135,0.9962343797833606,0.08669968549727222,-0.0004734489218670805,-3.0306031173416507e-05
12.225845,1.0685800410730486,0.5558765911044994,-0.0012382180578824314,0.9962475823892202,0.08654294179472106,-0.0010065012282841376,0.00024650441613679254
12.359181,1.0824501669616444,0.5608615850820217,-0.0015916992308729922,0.996375529135089,0.08505574763309276,-0.0011503578754344902,3.7577994218618216e-05
12.492517,1.108244586191511,0.5708442737891932,-0.0014697577168234933,0.9963301095275542,0.08558485474537036,-0.0011970510990304715,0.0003354932073250009
12.559186,1.0996309868607301,0.567555992359427,-0.0016756448024898016,0.9963496337722393,0.08536019191545378,-0.0008413883452536509,0.0005805030010630579
12.692522,1.1245110838766283,0.5776436361326525,-0.0019529259895244252,0.9961523828742342,0.08763202459578284,-0.0009500241334271816,0.0003947320299241888
12.725856,1.1282083769367786,0.5785812314463502,-0.0022464029007883877,0.9961376510021965,0.0878007460478359,-0.0008615168768730448,0.00025891686014883447
12.759190,1.1317558622600434,0.5801428124104544,-0.00209787809587953,0.9961622449831745,0.08751988322628478,-0.000923200567983236,0.0004465544206962378
12.859192,1.0505703525269339,0.5453410888211905,-0.0013625612598983704,0.9961135029361131,0.08807870600346544,-0.00013212546363817074,0.00011558530692616013
12.925860,1.0527001016850148,0.5469376926090166,-0.001118768686454268,0.9960642809140331,0.08863358536663615,-0.0001891672400668348,6.929694234359753e-06
12.959193,1.0547790598485207,0.5482295412474522,-0.0011420244145028578,0.9960618754964244,0.08866062563352706,-3.876534668454076e-05,0.0001792820826396858
13.025862,1.0539838282481604,0.5475359286177405,-0.0008340680288988242,0.9961291513997598,0.08790122398436408,-1.031224222567419e-05,0.00029740091252896354
13.125864,1.0592671494988326,0.5502910193024363,-0.0008652902554984552,0.9961300738395056,0.08789063069249865,-2.4784545205823483e-05,0.00033528301851662727
13.159197,1.0613889232101865,0.5512839060754645,-0.0011370525798988164,0.9961007257869122,0.08822272879111241,-0.00013131960591612022,0.00027742854542617176
13.225864,1.071464062389869,0.5555862360569421,-0.001440785925685857,0.995972232930769,0.08966197226871994,-0.00014017182502887735,0.00014937081690712256
13.292531,1.0975810894701963,0.5666641200873506,-0.0017413391005277475,0.9958752176410359,0.09073288984364604,-0.0001515302305010603,0.0002657585924932855
13.325864,1.1668706958489512,0.5960209400327885,-0.002121875853834382,0.995806150726858,0.09148503570599126,-0.0006772630329885844,0.00037380638807730696
13.425864,1.189415862694172,0.6054004402677682,-0.0021433162974908897,0.995653175636645,0.0931336125027338,-0.0008673020603918017,0.0003631170483914924
