input_index,qx,qy,qz,qw,angle_deg
0,0.000000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000
1,-0.000001827645,0.000008714704,-0.000002571725,0.999999999957,0.001062061
2,0.000002638344,0.000003495490,0.000001322651,0.999999999990,0.000524232
3,0.000031714682,0.000010928352,-0.000012044071,0.999999999365,0.004084204
4,-0.000015766765,0.000018962333,0.000000629096,0.999999999696,0.002826853
5,0.000021773125,0.000008436449,-0.000002136702,0.999999999725,0.002686942
6,-0.000005390204,0.000017895165,-0.000016446476,0.999999999690,0.002852796
7,0.000003416785,0.000019891827,0.000010980629,0.999999999736,0.002632948
8,0.000030686314,0.000013545544,-0.000019091842,0.999999999255,0.004422744
9,0.000017279801,0.000004228176,0.000004164179,0.999999999833,0.002093639
10,0.000019474854,0.000009460100,-0.000000154022,0.999999999766,0.002481078
11,0.000004824170,0.000000123954,-0.000014682952,0.999999999881,0.001771087
12,0.000007066818,0.000019539034,0.000017826283,0.999999999625,0.003137152
13,0.000012130492,0.000008732011,-0.000014573665,0.999999999782,0.002392162
14,0.000009348577,0.000010446705,-0.000000661593,0.999999999902,0.001608235
15,-0.000002081558,0.000013716407,0.000003174440,0.999999999899,0.001630867
16,0.000024288365,0.000013572913,-0.000021809030,0.999999999375,0.004051071
17,-0.000002773984,0.000015847219,0.000020808548,0.999999999654,0.003014052
18,0.000008733014,0.000010373673,-0.000025429593,0.999999999585,0.003302430
19,0.000015708174,0.000010908952,0.000009865247,0.999999999768,0.002465916
20,0.000002723008,0.000009147568,-0.000004592330,0.999999999944,0.001213709
21,0.000012215982,0.000010684186,-0.000015988398,0.999999999740,0.002610603
22,0.000009895065,0.000010080738,0.000030359574,0.999999999439,0.003837085
23,0.000012047780,0.000011091937,-0.000029740878,0.999999999424,0.003890548
24,0.000006473955,0.000006351373,0.000009713850,0.999999999912,0.001522865
25,0.000017894527,0.000013240943,0.000017339614,0.999999999602,0.003233430
26,0.000007390995,0.000000375719,-0.000046896384,0.999999998873,0.005440431
27,0.000009215853,0.000020628816,0.000034627275,0.999999999145,0.004737953
28,0.000009027165,0.000007889663,-0.000019656506,0.999999999735,0.002638381
29,0.000020536812,0.000007874200,-0.000008034314,0.999999999726,0.002683288
30,0.000008923060,0.000013019157,0.000031312719,0.999999999385,0.004018237
31,0.000019754190,0.000006318989,-0.000036619997,0.999999999114,0.004822633
32,0.000001740994,0.000008055843,0.000011484566,0.999999999900,0.001619852
33,0.000018195386,0.000009634849,-0.000003612710,0.999999999782,0.002395359
34,0.000005005135,0.000007189236,-0.000026124009,0.999999999620,0.003157409
35,0.000022997406,0.000016925461,0.000022655788,0.999999999336,0.004176916
36,0.000001327900,0.000009367929,-0.000020181914,0.999999999752,0.002554212
37,0.000022902213,0.000013278868,-0.000002961843,0.999999999645,0.003052553
38,0.000008303633,0.000006801679,0.000018521678,0.999999999771,0.002453078
39,0.000012797334,0.000009704066,-0.000025431143,0.999999999548,0.003446680
40,0.000017377518,0.000017402195,0.000011602372,0.999999999630,0.003116026
41,-0.000003000201,0.000008288470,-0.000015110740,0.999999999847,0.002004646
42,0.000034577477,0.000014380636,-0.000000895174,0.999999999298,0.004292530
43,-0.000014106260,0.000013739967,-0.000008284644,0.999999999772,0.002448102
44,0.000027964050,0.000022011945,0.000000785073,0.999999999366,0.004079090
45,0.000003809130,0.000006647098,0.000001160239,0.999999999970,0.000887915
46,0.000006188122,0.000013184078,-0.000023754982,0.999999999612,0.003192999
47,0.000016151233,0.000009269778,0.000023555280,0.999999999549,0.003440882
48,-0.000005135056,0.000006368770,-0.000041332864,0.999999999112,0.004828285
49,0.000005154110,0.000016852854,0.000005300484,0.999999999831,0.002108854
50,0.000011168498,0.000010118529,0.000004503862,0.999999999876,0.001802423
51,0.000015090647,0.000009823252,-0.000040114661,0.999999999033,0.005038655
52,0.000020468146,0.000003498073,0.000038098143,0.999999999059,0.004972072
53,0.000010432668,-0.000000134950,-0.000033843990,0.999999999373,0.004058345
54,0.000006036135,0.000004847082,-0.000000911398,0.999999999970,0.000893225
55,0.000033875347,0.000012712534,0.000028066431,0.999999998952,0.005247333
56,0.000017234768,0.000012912040,-0.000040593466,0.999999998944,0.005265713
57,0.000007285482,0.000000517201,0.000023320794,0.999999999701,0.002800364
58,0.000027842036,0.000011956076,-0.000006312544,0.999999999521,0.003546743
59,-0.000008088180,0.000009735270,-0.000025218861,0.999999999602,0.003233402
60,0.000023076363,0.000022326843,0.000036925524,0.999999998803,0.005607382
61,0.000018174147,0.000014111057,-0.000036056431,0.999999999085,0.004901369
62,0.000012292539,0.000021495857,0.000004114826,0.999999999685,0.002876477
63,0.000034558448,0.000009004748,0.000020348880,0.999999999155,0.004710046
64,-0.000008778748,0.000013406975,-0.000054558664,0.999999998383,0.006516081
65,0.000019565877,0.000018177609,0.000030145700,0.999999999189,0.004615085
66,0.000019682431,0.000006031903,-0.000015422976,0.999999999669,0.002947588
67,0.000007660132,-0.000002297331,-0.000020190596,0.999999999764,0.002488552
68,0.000017273621,0.000006606830,0.000031748945,0.999999999325,0.004210400
69,0.000019047686,0.000009432465,-0.000047044083,0.999999998668,0.005915557
70,0.000004760912,0.000013825050,0.000017085146,0.999999999747,0.002576910
71,0.000012593278,0.000013548672,0.000000951278,0.999999999828,0.002122457
72,0.000016062883,0.000009205557,-0.000027652555,0.999999999446,0.003813373
73,0.000000405673,0.000006016936,0.000025877521,0.999999999647,0.003044804
74,0.000020700857,0.000011712706,-0.000024919715,0.999999999407,0.003947517
75,-0.000004913967,-0.000000004159,-0.000007670628,0.999999999959,0.001043888
76,0.000017426671,0.000013479152,0.000009220462,0.999999999715,0.002736780
77,0.000013770769,0.000020412949,-0.000029275187,0.999999999268,0.004383571
78,0.000004642708,0.000012394257,0.000012299444,0.999999999837,0.002070428
79,0.000025082395,0.000014259442,0.000005915769,0.999999999566,0.003375017
80,0.000001509984,0.000002254939,-0.000030189318,0.999999999541,0.003473390
81,0.000015247059,0.000000771681,0.000020747426,0.999999999668,0.002951759
82,0.000013716498,0.000006569180,-0.000010944119,0.999999999824,0.002147087
83,-0.000002351779,0.000015553944,-0.000010972828,0.999999999816,0.002197826
84,0.000020318784,0.000017743822,0.000015850041,0.999999999511,0.003585306
85,0.000015991638,0.000003404385,-0.000029495984,0.999999999431,0.003864532
86,-0.000000470887,0.000010875644,0.000004952465,0.999999999928,0.001370451
87,0.000031778736,0.000004344418,0.000003466488,0.999999999480,0.003696850
88,0.000006400438,0.000013800120,-0.000009847139,0.999999999836,0.002076528
89,0.000003188770,0.000019213575,0.000001857934,0.999999999809,0.002241962
90,0.000020649130,0.000011118730,-0.000017389699,0.999999999574,0.003345631
91,0.000017013822,0.000011225001,0.000001238177,0.999999999791,0.002340037
92,0.000012100345,0.000004224134,-0.000009228388,0.999999999875,0.001809766
93,0.000009499031,0.000005558056,-0.000007438923,0.999999999912,0.001522219
94,0.000004150560,0.000015037687,-0.000005051711,0.999999999866,0.001879018
95,0.000015979716,0.000005808208,-0.000007104411,0.999999999830,0.002111594
96,0.000001970230,0.000013404256,0.000001214999,0.999999999907,0.001558749
97,0.000015225027,0.000001972648,-0.000022574506,0.999999999627,0.003128373
98,0.000018449729,0.000008750632,0.000009322496,0.999999999748,0.002572255
99,0.000009039878,0.000010105654,-0.000007916418,0.999999999877,0.001799173
