t_sec,x,y,z,qw,qx,qy,qz
1789446969.840595961,0.014233386,0.009899634,-0.024967843,-0.696352678,0.717635861,0.000502294,0.009563866
1789446969.873859406,0.014148226,0.009951552,-0.025012899,-0.696524715,0.717469685,0.000595720,0.009498361
1789446969.907113791,0.014039400,0.009989745,-0.025056327,-0.696556787,0.717438514,0.000581410,0.009501756
1789446969.940363169,0.013927092,0.010020194,-0.025095687,-0.696551522,0.717443820,0.000575122,0.009487448
1789446969.973606825,0.013811926,0.010048397,-0.025136788,-0.696567403,0.717428628,0.000560913,0.009471137
1789446970.006847143,0.013701861,0.010071082,-0.025178330,-0.696548118,0.717447428,0.000537651,0.009466730
1789446970.040082455,0.013602642,0.010095480,-0.025225994,-0.696538530,0.717457079,0.000548861,0.009440053
1789446970.073312998,0.013499613,0.010113810,-0.025267764,-0.696557182,0.717438936,0.000537796,0.009443246
1789446970.106537819,0.013416227,0.010132634,-0.025307319,-0.696569737,0.717426811,0.000532490,0.009438675
1789446970.139759064,0.013355286,0.010144954,-0.025340581,-0.696566526,0.717430236,0.000548283,0.009414363
1789446970.172975302,0.013310396,0.010143061,-0.025358308,-0.696582371,0.717414826,0.000535141,0.009417083
1789446970.206185818,0.013288604,0.010130316,-0.025368678,-0.696568873,0.717428225,0.000542661,0.009394266
1789446970.239392519,0.013277861,0.010114893,-0.025383047,-0.696577280,0.717420227,0.000544946,0.009381576
1789446970.272594690,0.013278415,0.010088043,-0.025380379,-0.696569047,0.717427973,0.000525881,0.009401631
1789446970.305792332,0.013291410,0.010102939,-0.025356347,-0.696645689,0.717354115,0.000591920,0.009354517
1789446970.338983536,0.013315729,0.010080007,-0.025351254,-0.696658122,0.717342366,0.000640563,0.009326293
1789446970.372171640,0.013346711,0.010046377,-0.025343091,-0.696638058,0.717361481,0.000576278,0.009358991
1789446970.405354738,0.013385813,0.010012586,-0.025333135,-0.696635228,0.717364608,0.000590147,0.009328997
1789446970.438533068,0.013425505,0.009978353,-0.025320249,-0.696658908,0.717341608,0.000601290,0.009328502
1789446970.471705675,0.013468354,0.009941849,-0.025306143,-0.696652390,0.717347824,0.000550359,0.009340470
1789446970.504874468,0.013513344,0.009908794,-0.025292030,-0.696651729,0.717348880,0.000594871,0.009305802
1789446970.538038492,0.013554389,0.009875663,-0.025276996,-0.696674625,0.717326430,0.000578584,0.009323392
1789446970.571197033,0.013596934,0.009841807,-0.025262202,-0.696667509,0.717333370,0.000553163,0.009322688
1789446970.604351521,0.013635754,0.009815104,-0.025248530,-0.696675835,0.717325799,0.000592240,0.009280480
