session	category	reason	acceptance	backend	files	bytes
d405_720p_rgb_stereo_ir_20260809_111538	REGRESSION_EVIDENCE	被回归/标定/AB/故障报告引用			6	4566043176
d405_720p_rgb_stereo_ir_20260810_000826	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			5	1244937783
d405_720p_rgb_stereo_ir_20260810_000853	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			6	3465163186
d405_720p_rgb_stereo_ir_20260810_000943	REGRESSION_EVIDENCE	被回归/标定/AB/故障报告引用			6	3465164511
d405_720p_rgb_stereo_ir_20260810_000943_ffv1prod	REGRESSION_EVIDENCE	被回归/标定/AB/故障报告引用			10	3837668862
d405_720p_rgb_stereo_ir_20260810_200101	LEGACY_DO_NOT_RUN	结果报告已保留，可在新机按需重录			10	6256036838
d405_720p_rgb_stereo_ir_20260811_192956	LEGACY_DO_NOT_RUN	结果报告已保留，可在新机按需重录			7	6740106869
d405_720p_rgb_stereo_ir_20260811_231527	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代	FAIL	rs.recorder + direct sensor frame_queue	6	1093458396
d405_720p_rgb_stereo_ir_20260811_231818	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代	FAIL	rs.recorder + direct sensor frame_queue	6	1087983523
d405_720p_rgb_stereo_ir_20260811_232602	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代	FAIL	rs.recorder + direct sensor frame_queue	6	1095366941
d405_720p_rgb_stereo_ir_20260811_234953	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代	FAIL	rs.recorder + direct sensor frame_queue	6	1025199756
d405_720p_rgb_stereo_ir_20260811_235350	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代	FAIL	rs.recorder + direct sensor frame_queue	6	1041818678
d405_720p_rgb_stereo_ir_20260812_101310	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			3	417172
d405_720p_rgb_stereo_ir_20260812_101410	LEGACY_DO_NOT_RUN	结果报告已保留，可在新机按需重录	FAIL	rs.recorder + direct sensor frame_queue	12	5924180684
d405_720p_rgb_stereo_ir_20260812_114728	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	34	6651236991
d405_720p_rgb_stereo_ir_20260812_121306	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	30	6650731789
d405_720p_rgb_stereo_ir_20260812_151059	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			3	1938073
d405_720p_rgb_stereo_ir_20260812_151212	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	6650488483
d405_720p_rgb_stereo_ir_20260812_155253	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			3	1803339
d405_720p_rgb_stereo_ir_20260812_155408	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	6651430771
d405_720p_rgb_stereo_ir_20260813_000933	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	6649518211
d405_720p_rgb_stereo_ir_20260814_123400	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	11475752207
d405_720p_rgb_stereo_ir_20260814_133306	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	6649546403
d405_720p_rgb_stereo_ir_20260814_133438	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	7204582399
d405_720p_rgb_stereo_ir_20260815_101756	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			3	480532
d405_720p_rgb_stereo_ir_20260815_101814	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	6648593087
d405_720p_rgb_stereo_ir_20260815_102028	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	6096302846
d405_720p_rgb_stereo_ir_20260815_102312	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	7202741874
d405_720p_rgb_stereo_ir_20260815_105119	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	7203663576
d405_720p_rgb_stereo_ir_20260815_105250	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	7759648045
d405_720p_rgb_stereo_ir_20260815_111817	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	7759639293
d405_720p_rgb_stereo_ir_20260815_112056	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	7757775301
d405_720p_rgb_stereo_ir_20260815_113838	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	1106447693
d405_720p_rgb_stereo_ir_20260815_114757	CURRENT_ACTIVE	RSUSB正式采集PASS	PASS	rs.recorder + direct sensor frame_queue (RSUSB)	6	1106443571
d405_four_stream_20260803_212414	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			13	555197730
d405_four_stream_20260803_212647	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			13	1133239317
d405_four_stream_20260804_143635	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			13	1123222459
d405_mp4_inline_20260808_163227	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			8	56231290
d405_mp4_inline_20260808_163454	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			8	60649397
d405_mp4_inline_20260808_163546	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			8	40543543
d405_mp4_inline_20260808_163609	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			8	39973479
d405_mp4_inline_20260808_163752	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			9	41785580
d405_mp4_inline_20260808_164853	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			9	44701545
d405_mp4_inline_20260808_164915	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			9	45311889
d405_mp4_inline_20260808_164938	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			9	47975801
d405_mp4_inline_20260810_183547	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			9	309400604
d405_mp4_inline_20260810_183707	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			9	541660680
